id,attack_id,fp_epochs,dataset,model,pruning_rate,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss,pruned_clean_acc,pruned_bk_acc,fine-pruned_clean_acc,fine-pruned_bk_acc
2023-04-13_18-36-08.561794,2023-04-11_23-46-05.918050,10,CIFAR10,googlenet,0.3,1,0.9154982795646074,0.0019393018476688616,0.9059,0.2136,0.0025070011392235754,0.027095504808425902,0.8608,0.1027,0.9267,0.1027
2023-04-13_18-36-08.567444,2023-04-11_23-46-05.918050,10,CIFAR10,googlenet,0.0,1,0.9154982795646074,0.0019393018476688616,0.9059,0.2136,0.0025070011392235754,0.027095504808425902,0.9059,0.1046,0.9278,0.1046
2023-04-13_18-45-41.182760,2023-04-11_23-46-05.918050,10,CIFAR10,googlenet,0.9,1,0.9154982795646074,0.0019393018476688616,0.9059,0.2136,0.0025070011392235754,0.027095504808425902,0.5214,0.1036,0.9222,0.1036
2023-04-13_18-45-41.638299,2023-04-11_23-46-05.918050,10,CIFAR10,googlenet,0.6,1,0.9154982795646074,0.0019393018476688616,0.9059,0.2136,0.0025070011392235754,0.027095504808425902,0.7248,0.1072,0.9275,0.1072
2023-04-13_18-53-24.944307,2023-04-12_00-13-11.998472,10,CIFAR10,alexnet,0.6,1,0.981899595592224,0.0005708037228362579,0.7987,0.1579,0.011009680658578873,0.11910635595321656,0.7319,0.0992,0.8338,0.0992
2023-04-13_18-53-24.937737,2023-04-12_00-13-11.998472,10,CIFAR10,alexnet,0.3,1,0.981899595592224,0.0005708037228362579,0.7987,0.1579,0.011009680658578873,0.11910635595321656,0.7938,0.1079,0.845,0.1079
2023-04-13_18-55-57.556718,2023-04-12_00-13-11.998472,10,CIFAR10,alexnet,0.9,1,0.981899595592224,0.0005708037228362579,0.7987,0.1579,0.011009680658578873,0.11910635595321656,0.4178,0.0925,0.8175,0.0925
2023-04-13_18-55-57.578704,2023-04-12_00-13-11.998472,10,CIFAR10,alexnet,0.0,1,0.981899595592224,0.0005708037228362579,0.7987,0.1579,0.011009680658578873,0.11910635595321656,0.7987,0.0985,0.8478,0.0985
2023-04-13_18-47-45.742568,2023-04-12_12-41-21.140316,10,CIFAR10,resnet,0.3,1,0.9479789655775996,0.0011568059393363618,0.9344,0.4966,0.00205103088542819,0.015907766664028166,0.9301,0.1021,0.9568,0.1021
2023-04-13_18-47-45.763105,2023-04-12_12-41-21.140316,10,CIFAR10,resnet,0.6,1,0.9479789655775996,0.0011568059393363618,0.9344,0.4966,0.00205103088542819,0.015907766664028166,0.9072,0.1004,0.9569,0.1004
2023-04-13_18-47-45.637301,2023-04-12_12-41-21.140316,10,CIFAR10,resnet,0.0,1,0.9479789655775996,0.0011568059393363618,0.9344,0.4966,0.00205103088542819,0.015907766664028166,0.9344,0.109,0.9528,0.109
2023-04-13_19-07-07.554255,2023-04-12_12-41-21.140316,10,CIFAR10,resnet,0.9,1,0.9479789655775996,0.0011568059393363618,0.9344,0.4966,0.00205103088542819,0.015907766664028166,0.6985,0.1014,0.9563,0.1014
2023-04-13_19-08-28.668311,2023-04-13_00-30-05.340612,10,CIFAR10,vgg,0.0,1,0.993759915997688,0.0006352355341887072,0.9341,0.1614,0.01117218659343198,0.2627224495410919,0.9341,0.1014,0.9587,0.1014
2023-04-13_19-11-48.616841,2023-04-13_00-30-05.340612,10,CIFAR10,vgg,0.3,1,0.993759915997688,0.0006352355341887072,0.9341,0.1614,0.01117218659343198,0.2627224495410919,0.9285,0.1009,0.9595,0.1009
2023-04-13_19-11-53.084263,2023-04-13_00-30-05.340612,10,CIFAR10,vgg,0.6,1,0.993759915997688,0.0006352355341887072,0.9341,0.1614,0.01117218659343198,0.2627224495410919,0.8832,0.1008,0.9601,0.1008
2023-04-13_19-11-53.152278,2023-04-13_00-30-05.340612,10,CIFAR10,vgg,0.9,1,0.993759915997688,0.0006352355341887072,0.9341,0.1614,0.01117218659343198,0.2627224495410919,0.5531,0.0997,0.9561,0.0997
