id,dataset,model,epsilon,target_label,seed,train_acc,train_loss,clean_acc,bk_acc,clean_loss,bk_loss
2023-04-10_12-16-44.970577,CIFAR10,alexnet,0.02,0,1,0.9879197427943998,0.0003787704912935815,0.8428,0.1767,0.010838554486632348,0.1789721130371094
2023-04-10_12-16-44.971632,CIFAR10,alexnet,0.015,0,1,0.9839797231947519,0.00051171640803047,0.8467,0.1886,0.009141532671451569,0.15846011638641358
2023-04-10_12-16-44.970560,CIFAR10,alexnet,0.005,0,1,0.9871398079946,0.0004416246959756722,0.8335,0.1274,0.009729148423671723,0.22017498779296876
2023-04-10_12-16-44.971678,CIFAR10,alexnet,0.01,0,1,0.9883397627940479,0.0003662980538286453,0.8432,0.1341,0.010652186807990073,0.22489826068878174
2023-04-10_12-16-41.851558,CIFAR10,googlenet,0.015,0,1,0.9679392995851117,0.0007485628261498207,0.9136,0.3257,0.002485518518090248,0.024918294048309326
2023-04-10_12-16-41.842178,CIFAR10,googlenet,0.01,0,1,0.9683793299860236,0.0007200533002323346,0.9131,0.2092,0.002428720750659704,0.032611077332496644
2023-04-10_12-16-41.843131,CIFAR10,googlenet,0.02,0,1,0.9654392675847037,0.0007884589036698446,0.9074,0.4198,0.0025819569885730744,0.020309973084926606
2023-04-10_12-16-41.841634,CIFAR10,googlenet,0.005,0,1,0.9737993919881197,0.0006290787156192619,0.9189,0.1234,0.0023374536588788033,0.04717327852249145
2023-04-10_12-16-48.226308,CIFAR10,resnet,0.015,0,1,0.9871997467951759,0.0002881608693556786,0.9312,0.7888,0.0022614470914006234,0.009312959587574006
2023-04-10_12-16-48.230149,CIFAR10,resnet,0.01,0,1,0.9871397699948319,0.00029360304133956044,0.9414,0.7772,0.0017438666187226772,0.007503143173456192
2023-04-10_12-16-48.233066,CIFAR10,resnet,0.005,0,1,0.9862797487953439,0.00030714654348892786,0.9422,0.6416,0.0019479824349284173,0.014833353155851364
2023-04-10_12-16-48.231664,CIFAR10,resnet,0.02,0,1,0.9883597435950159,0.0002716618646001801,0.9483,0.8842,0.0015504687294363975,0.0035270898092538117
2023-04-10_12-22-05.110322,TinyImageNet,alexnet,0.01,0,1,0.27494275992719724,0.10197245115390577,0.3315,0.3315,0.09084556432366371,0.09084556432366371
2023-04-10_12-22-05.110992,TinyImageNet,alexnet,0.005,0,1,0.27494275992719724,0.10197245115390577,0.3315,0.3315,0.09084556432366371,0.09084556432366371
2023-04-10_12-22-05.093467,TinyImageNet,alexnet,0.02,0,1,0.27376273102708926,0.10213714231157643,0.3382,0.3382,0.09153802236318588,0.09153802236318588
2023-04-10_12-22-05.093703,TinyImageNet,alexnet,0.015,0,1,0.27376273102708926,0.10213714231157643,0.3382,0.3382,0.09153802236318588,0.09153802236318588
2023-04-10_12-24-30.819651,TinyImageNet,googlenet,0.02,0,1,0.5936059115587685,0.05175801751750302,0.695,0.695,0.03742709460183978,0.03742709460183978
2023-04-10_12-24-30.819653,TinyImageNet,googlenet,0.015,0,1,0.5936059115587685,0.05175801751750302,0.695,0.695,0.03742709460183978,0.03742709460183978
2023-04-10_12-24-30.820542,TinyImageNet,googlenet,0.01,0,1,0.5936059115587685,0.05175801751750302,0.695,0.695,0.03742709460183978,0.03742709460183978
2023-04-10_12-22-03.896714,TinyImageNet,googlenet,0.005,0,1,0.5933559185587576,0.05176365700217144,0.6963,0.6963,0.03741397029906511,0.03741397029906511
2023-04-10_12-22-40.788163,TinyImageNet,vgg,0.01,0,1,0.7187571204704216,0.03494911884547092,0.6849,0.6849,0.046136159057170154,0.046136159057170154
2023-04-10_12-22-40.790577,TinyImageNet,vgg,0.005,0,1,0.7196871484704118,0.03487186748343342,0.6851,0.6851,0.04776706453636289,0.04776706453636289
2023-04-10_12-45-09.017725,TinyImageNet,vgg,0.015,0,1,0.7196771354705107,0.0349040076163404,0.6874,0.6874,0.04642516065388918,0.04642516065388918
2023-04-10_12-45-08.984125,TinyImageNet,vgg,0.02,0,1,0.7191871346703537,0.034943388730511636,0.6826,0.6826,0.047522415960580114,0.047522415960580114
2023-04-10_12-24-33.646290,TinyImageNet,resnet,0.01,0,1,0.6674366564664127,0.04112091077003702,0.7374,0.7374,0.03323740218728781,0.03323740218728781
2023-04-10_12-24-33.646354,TinyImageNet,resnet,0.005,0,1,0.6667266480663087,0.04113183908274881,0.7363,0.7363,0.0336294433619827,0.0336294433619827
2023-04-10_12-24-33.647629,TinyImageNet,resnet,0.015,0,1,0.6664266586663355,0.04115915456222565,0.7355,0.7355,0.03372800097241998,0.03372800097241998
2023-04-10_12-24-33.647430,TinyImageNet,resnet,0.02,0,1,0.6659366559666366,0.041266079030390375,0.7369,0.7369,0.03331478340923786,0.03331478340923786
2023-04-12_14-41-42.195607,CIFAR10,vgg,0.005,0,1,1.000020000400008,2.297034538743591e-06,0.9394,0.1658,0.002963225244730711,0.08403292226791381
2023-04-12_16-29-36.714505,CIFAR10,vgg,0.015,0,1,1.000020000400008,1.8782021566857827e-06,0.9419,0.5974,0.002976149405539036,0.02329592660665512
2023-04-12_16-20-40.773261,CIFAR10,vgg,0.01,0,1,1.000020000400008,2.035769589100533e-06,0.9408,0.3688,0.0030131411403417586,0.045321469926834106
2023-04-12_19-00-49.068832,CIFAR10,vgg,0.02,0,1,1.000020000400008,1.8126838871348516e-06,0.9421,0.7275,0.003018536388128996,0.014467733514308929
